City,State,Zip Code,Latitude,Longitude,Landfill ID,DDRT_ID,main_landfill_ID,geometry,facility_id,facility_label,x,y,PFAS_CT_2020
Yakima,WA,98901,46.6053,-120.4772,1631.0,,1631.0,POINT (-120.4772 46.6053),1631.0,MLF,-120.4772,46.6053,486.09825149
Friendship,WI,53934,44.02489,-89.84648,1657.0,,1657.0,POINT (-89.84648 44.02489),1657.0,MLF,-89.84648,44.02489,601.637251953
Wisconsin Rapids,WI,54495,44.40918,-89.85482,1702.0,,1702.0,POINT (-89.85482 44.40918),1702.0,MLF,-89.85482,44.40918,424.189667811
Madison,WI,53718,43.045,-89.254,1660.0,,1660.0,POINT (-89.254 43.045),1660.0,MLF,-89.254,43.045,151.457493131
Watertown,WI,53094,43.0869,-88.7566,1661.0,,1661.0,POINT (-88.7566 43.0869),1661.0,MLF,-88.7566,43.0869,506.284631899
Muskego,WI,53150,42.851,-88.0745,1712.0,,1712.0,POINT (-88.0745 42.851),1712.0,MLF,-88.0745,42.851,340.466303708
Horicon,WI,53032,43.465,-88.555,1667.0,,1667.0,POINT (-88.555 43.465),1667.0,MLF,-88.555,43.465,560.71325294
Hilbert,WI,54129,44.105,-88.192,2152.0,,2152.0,POINT (-88.192 44.105),2152.0,MLF,-88.192,44.105,98.72812606
Eagle River,WI,54521,45.968199,-89.415766,21142.0,,21142.0,POINT (-89.415766 45.968199),21142.0,MLF,-89.415766,45.968199,284.885656392
Janesville,WI,53545,42.7046,-89.0218,1697.0,,1697.0,POINT (-89.0218 42.7046),1697.0,MLF,-89.0218,42.7046,1060.585658646
Racine,WI,53406,42.7074,-87.8703,1674.0,,1674.0,POINT (-87.8703 42.7074),1674.0,MLF,-87.8703,42.7074,526.026915055
La Crosse,WI,54601,43.878,-91.157,1672.0,,1672.0,POINT (-91.157 43.878),1672.0,MLF,-91.157,43.878,879.774019823
Sarona,WI,54870,45.689,-91.831,1673.0,,1673.0,POINT (-91.831 45.689),1673.0,MLF,-91.831,45.689,364.628013672
Merrill,WI,54452,45.2852,-89.6058,1675.0,,1675.0,POINT (-89.6058 45.2852),1675.0,MLF,-89.6058,45.2852,253.919564767
